update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,38.772951728751934,52,4.423535108566284,6.8211575966067235,0.0,23.834766387939453,21.75,33.80920732581585,0.0,114.0,1.6152421683073044,4.306150734424591,-3.1773239374160767,84.60531044006348,31.871419051463242,4.423535108566284,6.8211575966067235,0.0,23.834766387939453
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,135.53898746335292,67,52.51984850130975,67.15886007521078,0.4691406190395355,256.0,175.6875,87.0393005702022,34.0,256.0,1.5900524407625198,4.159217834472656,-0.16614286322146654,14.966260313987732,2.9247673007369617,52.51984850130975,67.15886007521078,0.4691406190395355,256.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,138.47492314502642,82,48.83994129858911,69.46984218159571,0.0,256.0,235.75,42.19374953710561,142.0,256.0,1.525978535413742,4.314147233963013,-0.20997810829430819,14.04718828201294,2.1714849997844743,48.83994129858911,69.46984218159571,0.0,256.0
