update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
55,28160,165.08440532031693,165,671.890625,252.1817028187657,-128.0,951.8125,79.0,57.75486992453537,12.0,256.0,0.627029538154602,1.0058133602142334,44.29458236694336,47259.6796875,"tensor(649.5783, device='cuda:0')",671.890625,252.1817028187657,-128.0,951.8125
56,28672,169.97474049270016,168,720.8310546875,270.0046701786782,-128.0,951.8125,66.8125,62.02239388922359,12.0,256.0,0.6073148250579834,1.1064836978912354,46.45305252075195,56152.4296875,"tensor(685.5359, device='cuda:0')",720.8310546875,270.0046701786782,-128.0,951.8125
57,29184,171.49518651870665,171,790.4345703125,170.09157700616248,417.734375,935.75,52.1875,42.35743551904435,16.0,145.0,0.6005536317825317,1.206449270248413,38.8138313293457,57201.08203125,"tensor(701.7119, device='cuda:0')",790.4345703125,170.09157700616248,417.734375,935.75
58,29696,173.17422160921083,174,729.94921875,225.61103908639222,80.421875,951.8125,67.25,56.18329378026888,12.0,229.0,0.5379343032836914,1.3055599927902222,30.40298843383789,46066.6875,"tensor(622.2100, device='cuda:0')",729.94921875,225.61103908639222,80.421875,951.8125
59,30208,172.030575293049,177,663.4892578125,361.7264203728595,-128.0,951.8125,80.6875,83.3971812698127,12.0,256.0,0.4910587966442108,1.4041004180908203,44.090980529785156,63769.83984375,"tensor(814.6465, device='cuda:0')",663.4892578125,361.7264203728595,-128.0,951.8125
60,30720,166.1027495067929,180,760.341796875,300.62992966510024,-128.0,955.828125,58.125,70.37388986691016,11.0,256.0,0.49532195925712585,1.502097487449646,52.79578399658203,85565.3671875,"tensor(968.5117, device='cuda:0')",760.341796875,300.62992966510024,-128.0,955.828125
61,31232,165.1430694328271,183,808.5927734375,216.37116412812634,37.65625,955.828125,46.0625,48.231821381220925,11.0,214.0,0.47541534900665283,1.599477767944336,78.70337677001953,93519.8203125,"tensor(1310.6592, device='cuda:0')",808.5927734375,216.37116412812634,37.65625,955.828125
62,31744,164.2320735024999,186,737.8564453125,232.17863796773105,313.328125,947.796875,65.1875,57.853498975861434,13.0,171.0,0.4782164394855499,1.696292757987976,116.30839538574219,111270.890625,"tensor(1606.3833, device='cuda:0')",737.8564453125,232.17863796773105,313.328125,947.796875
63,32256,172.98853465955395,189,838.498046875,162.5225760755176,313.328125,955.828125,40.125,40.46429753498756,11.0,171.0,0.519035816192627,1.7923963069915771,65.30598449707031,80987.203125,"tensor(925.0633, device='cuda:0')",838.498046875,162.5225760755176,313.328125,955.828125
64,32768,164.88863141240262,192,838.1201171875,159.6856006337658,305.296875,955.828125,40.3125,39.766063971054514,11.0,173.0,0.5482369661331177,1.8880215883255005,47.46943283081055,71307.5703125,"tensor(894.1929, device='cuda:0')",838.1201171875,159.6856006337658,305.296875,955.828125
65,33280,163.4342946133549,195,772.615234375,188.861822722653,305.296875,955.828125,56.625,47.03173795427934,11.0,173.0,0.49998223781585693,1.9830126762390137,30.420352935791016,41439.2578125,"tensor(716.2910, device='cuda:0')",772.615234375,188.861822722653,305.296875,955.828125
